eventid,title,link,location,district,property_type,price_czk,layout,area_m2,timestamp
20e553049deb,Prodej bytu 4+1 118 m²,https://www.sreality.cz//detail/prodej/byt/4+1/praha-stodulky-mezi-skolami/1431597644,"Mezi Školami, Praha - Stodůlky",Stodůlky,For Sale,14400000,4+1,118,2025-05-29 08:40:09.115116
686c354a84a4,Pronájem bytu 3+1 74 m²,https://www.sreality.cz//detail/pronajem/byt/3+1/praha-strizkov-sluknovska/1226129996,"Šluknovská, Praha - Střížkov",Střížkov,For Rent,22500,3+1,74,2025-05-29 08:40:09.175115
04af991f9fa2,Pronájem bytu 2+kk 42 m²,https://www.sreality.cz//detail/pronajem/byt/2+kk/praha-zizkov-jeseniova/4264211276,"Jeseniova, Praha - Žižkov",Žižkov,For Rent,19000,2+kk,42,2025-05-29 08:40:09.218133
31495f8f931d,Pronájem bytu 2+kk 39 m²,https://www.sreality.cz//detail/pronajem/byt/2+kk/praha-zizkov-blahnikova/1042985804,"Blahníkova, Praha - Žižkov",Žižkov,For Rent,18000,2+kk,39,2025-05-29 08:40:09.258942
b11b6291d005,Pronájem bytu 4+kk 170 m²,https://www.sreality.cz//detail/pronajem/byt/4+kk/praha-smichov-malatova/4275811148,"Malátova, Praha - Smíchov",Smíchov,For Rent,65000,4+kk,170,2025-05-29 08:40:09.301569
a0b10cb7b9fc,Pronájem bytu 1+1 40 m²,https://www.sreality.cz//detail/pronajem/byt/1+1/praha-vinohrady-lucemburska/2066330444,"Lucemburská, Praha - Vinohrady",Vinohrady,For Rent,20000,1+1,40,2025-05-29 08:40:09.356086
650cfd7d2051,Pronájem bytu 2+kk 43 m²,https://www.sreality.cz//detail/pronajem/byt/2+kk/praha-horni-mecholupy-bolonska/4076385100,"Boloňská, Praha - Horní Měcholupy",Horní Měcholupy,For Rent,20000,2+kk,43,2025-05-29 08:40:09.397110
ae6f96eb2e12,Prodej bytu 2+1 56 m²,https://www.sreality.cz//detail/prodej/byt/2+1/praha-sedlec-v-sedlci/3614851660,"V Sedlci, Praha - Sedlec",Sedlec,For Sale,6180000,2+1,56,2025-05-29 08:40:09.444673
42dc109ecc88,Prodej bytu 1+kk 41 m²,https://www.sreality.cz//detail/prodej/byt/1+kk/praha-vrsovice-petrohradska/96797260,"Petrohradská, Praha - Vršovice",Vršovice,For Sale,6390000,1+kk,41,2025-05-29 08:40:10.184698
8c3afd0bbb1b,Prodej bytu 2+kk 69 m²,https://www.sreality.cz//detail/prodej/byt/2+kk/praha-modrany-ceskoslovenskeho-exilu/2265850444,"Československého exilu, Praha - Modřany",Modřany,For Sale,10511000,2+kk,69,2025-05-29 08:40:10.377672
bfb820b4c627,Prodej bytu 2+kk 45 m²,https://www.sreality.cz//detail/prodej/byt/2+kk/praha-smichov-pechackova/695386700,"Pecháčkova, Praha - Smíchov",Smíchov,For Sale,9225000,2+kk,45,2025-05-29 08:40:10.508538
a4b9908d290f,Prodej bytu 1+kk 63 m²,https://www.sreality.cz//detail/prodej/byt/1+kk/praha-zlicin-miloticka/3556291404,"Milotická, Praha - Zličín",Zličín,For Sale,6890000,1+kk,63,2025-05-29 08:40:10.655462
a1ed92f526d1,Prodej bytu 4+kk 116 m²,https://www.sreality.cz//detail/prodej/byt/4+kk/praha-troja-pod-hrachovkou/2124990284,"Pod Hrachovkou, Praha - Troja",Troja,For Sale,25075021,4+kk,116,2025-05-29 08:40:10.768848
5590c67a35c4,Prodej bytu 4+kk 117 m²,https://www.sreality.cz//detail/prodej/byt/4+kk/praha-troja-pod-hrachovkou/4219455308,"Pod Hrachovkou, Praha - Troja",Troja,For Sale,26577100,4+kk,117,2025-05-29 08:40:10.885581
6d36d45660a3,Prodej bytu 4+kk 103 m²,https://www.sreality.cz//detail/prodej/byt/4+kk/praha-reporyje-dalejska/844543820,"Dalejská, Praha - Řeporyje",Řeporyje,For Sale,15246560,4+kk,103,2025-05-29 08:40:10.965812
b72989251124,Prodej bytu 2+kk 50 m²,https://www.sreality.cz//detail/prodej/byt/2+kk/praha-reporyje-dalejska/3075913548,"Dalejská, Praha - Řeporyje",Řeporyje,For Sale,8309840,2+kk,50,2025-05-29 08:40:11.019773
7c8ba517906a,Prodej bytu 2+kk 51 m²,https://www.sreality.cz//detail/prodej/byt/2+kk/praha-reporyje-dalejska/1957148492,"Dalejská, Praha - Řeporyje",Řeporyje,For Sale,8127840,2+kk,51,2025-05-29 08:40:11.079970
1d61c0ec9be9,Pronájem bytu 1+1 40 m²,https://www.sreality.cz//detail/pronajem/byt/1+1/praha-nusle-kotorska/3762176588,"Kotorská, Praha - Nusle",Nusle,For Rent,17000,1+1,40,2025-05-29 08:40:11.128353
cdb3a5b68225,Prodej bytu 4+kk 107 m²,https://www.sreality.cz//detail/prodej/byt/4+kk/praha-troja-pod-hrachovkou/2116011852,"Pod Hrachovkou, Praha - Troja",Troja,For Sale,28418217,4+kk,107,2025-05-29 08:40:11.174005
e70b430d0780,Prodej bytu 2+kk 46 m²,https://www.sreality.cz//detail/prodej/byt/2+kk/praha-chodov-ceneticka/2893238860,"Čenětická, Praha - Chodov",Chodov,For Sale,6469000,2+kk,46,2025-05-29 08:42:09.608887
41b57a58e1d2,Pronájem bytu 2+kk 56 m²,https://www.sreality.cz//detail/pronajem/byt/2+kk/praha-holesovice-jankovcova/2650321740,"Jankovcova, Praha - Holešovice",Holešovice,For Rent,28490,2+kk,56,2025-05-29 08:42:09.711031
a60aaa509193,Pronájem bytu 2+kk 79 m²,https://www.sreality.cz//detail/pronajem/byt/2+kk/praha-holesovice-kamenicka/247747148,"Kamenická, Praha - Holešovice",Holešovice,For Rent,32500,2+kk,79,2025-05-29 08:42:09.776027
